Candy,Chocolate,Caramel,Nougat,Toffee,Wafer,Lollipop,HardCandy,Peanuts,Almonds,Shape,Sour,Crunchy,Mint,Coconut,Shell,Biscuit,Rice,Segmented,Gummy,Fruit-Flavored,Malt,Mousse
Reeses,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Twix,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
KitKat,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Butterfinger,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100Grand,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
MrGoodbar,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
NestleCrunch,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Reeses Pieces,1,0,0,0,0,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0
Hersheys Bar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Starbursts,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0
Heath,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TootsieRolls,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
MandMs,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0
BabyRuth,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Twizzlers,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
RedVines,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
JuniorMints,1,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0
HariboGummies,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0
PayDay,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Skittles,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,1,1,0,0
Nerds,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,1,0,0
LaffyTaffy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
MilkyWay,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MilkDuds,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
Whoppers,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,0
BlowPops,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
TootsiePops,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Runts,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0
SourPatchKids,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,1,0,0
JollyRanchers,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
Airheads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
AlmondJoy,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Mounds,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WerthersOriginals,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SwedishFish,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0
CandyCorn,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Snickers,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CaramelApplePops,0,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
3Musketeers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Smarties,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0
DumDum Pops,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Rolos,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
MikeAndIkes,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0
Jellybeans,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0
Gobstoppers,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
Warheads,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0